title,location,property_type,price,price_per_bedroom,bedrooms,bathrooms,price_category,added_date,updated_date,month_added,state
Brand New Smart Home With Parking For 10 Cars In Omole,omole phase 1 ikeja lagos ikeja lagos,maisonette,600000000,120000000,5,6,High,15/05/2025,18/02/2026,2025-05,Lagos
Luxurious Spacious 3 Bedroom Apartment,rock hampton katampe abuja,Flat/Apartment,375000000,125000000,3,3,High,07/10/2025,18/02/2026,2025-10,Abuja
4 Bedroom Maisonette,lekki phase 1 lekki lagos,maisonette,430000000,107500000,4,4,High,12/01/2026,09/02/2026,2026-01,Lagos
Furnished 4bed+bq..,ikeja gra ikeja lagos,maisonette,830000000,207500000,4,5,High,17/02/2026,19/02/2026,2026-02,Lagos
5 Bedroom Fully Detached Duplex,toll gate chevron lekki lagos,Detached,420000000,84000000,5,5,High,09/04/2025,18/02/2026,2025-04,Lagos
Newly Built Two Terrace With A Private Compound,ajah lekki lagos ajah lagos,Terraced,90000000,45000000,2,2,High,03/02/2026,18/02/2026,2026-02,Lagos
Luxury 4 Bedroom Terrace Duplex With Bq,by coza church guzape abuja,Terraced,400000000,100000000,4,4,High,29/01/2026,18/02/2026,2026-01,Abuja
600sqm & 1020sqm Plots In A Beautiful Estate,maiyegun beach estate jakande lekki phase 1 lekki lagos,land,500000000,0,0,0,High,14/10/2025,18/02/2026,2025-10,Lagos
4 Bedroom Terraced Duplex With Bq,"rock hampton, katampe abuja",Terraced,216000000,54000000,4,4,High,13/10/2025,18/02/2026,2025-10,Abuja
4 Bedroom Duplex,napier gardens estates by vgc lekki vgc lekki lagos,duplex,450000000,112500000,4,4,High,18/01/2026,18/02/2026,2026-01,Lagos
5 Bedroom Fully Detached Duplex,chevron lekki lagos,Detached,480000000,96000000,5,5,High,23/01/2026,18/02/2026,2026-01,Lagos
6 Bedroom Waterfront Detached Home,banana island ikoyi lagos,Detached,7500000000,1250000000,6,6,High,08/09/2025,18/02/2026,2025-09,Lagos
5 Bedroom Fully Detached Duplex With Bq,lekki phase 1 lekki lagos,Detached,750000000,150000000,5,5,High,28/11/2025,18/02/2026,2025-11,Lagos
6 Bedroom Fully Detached Duplex,chevron lekki lagos,Detached,750000000,125000000,6,6,High,02/01/2026,18/02/2026,2026-01,Lagos
Brand New 2 Bedroom Apartment,capital hub mabushi abuja,Flat/Apartment,120000000,60000000,2,2,High,23/01/2026,18/02/2026,2026-01,Abuja
3 Bed Apartment With Pool & Gym,adeniyi jones ikeja lagos,Flat/Apartment,265000000,88333333,3,3,High,16/10/2025,18/02/2026,2025-10,Lagos
2 Bedroom Apartment With Bq,ikate lekki lagos,Flat/Apartment,220000000,110000000,2,2,High,18/07/2025,18/02/2026,2025-07,Lagos
Newly Built 5 Bedroom Detached Duplex,aso villa asokoro abuja,Detached,3500000000,700000000,5,5,High,21/01/2026,18/02/2026,2026-01,Abuja
4 Bedroom Terraced Duplex With Bq,osborne osborne foreshore estate ikoyi lagos,Terraced,350000000,87500000,4,4,High,17/09/2025,18/02/2026,2025-09,Lagos
Contemporary 5 Bedroom Detached Duplex,ikota by mega chicken lekki lagos,Detached,420000000,84000000,5,5,High,01/02/2026,18/02/2026,2026-02,Lagos
"Large Expanse Of Waterfront Land Measuring 2,270 Sqms",banana island ikoyi lagos,land,9100000000,0,0,0,High,12/02/2026,18/02/2026,2026-02,Lagos
4 Bedroom Duplex All Ensuite With 2 Bedroom Bq,parkview estate ikoyi lagos,duplex,1650000000,412500000,4,5,High,17/02/2026,18/02/2026,2026-02,Lagos
Contemporary Fully Furnished 5 Bedroom Duplex,vgc lekki lagos,duplex,850000000,170000000,5,5,High,29/01/2026,18/02/2026,2026-01,Lagos
Land,parkview estate ikoyi lagos,land,1300000000,0,0,0,High,25/12/2025,18/02/2026,2025-12,Lagos
Well Maintained 5 Bedroom Detached Duplex,lekki phase 1 lekki lagos,Detached,45000000,9000000,5,5,Mid,19/01/2026,18/02/2026,2026-01,Lagos
Newly Built 1 Bedroom Apartment,freedom way lekki lagos,Flat/Apartment,140000000,140000000,1,1,High,14/12/2025,18/02/2026,2025-12,Lagos
Commercial 5 Bedroom Fully Detached Duplex + 3bq,victoria island lagos,Detached,90000000,0,0,0,High,20/01/2026,03/12/2025,2026-01,Lagos
Fully Functioning 18 Rooms Hotel,alausa ikeja lagos,hotel/guest house,680000000,68000000,10,10,High,05/10/2025,18/02/2026,2025-10,Lagos
A Contemporary 4 Bed Terrace Duplex,lekki phase 1 lekki lagos,Terraced,650000000,162500000,4,4,High,04/02/2026,18/02/2026,2026-02,Lagos
5 Bedroom Duplex With Bq,lekki phase 1 lekki lagos,duplex,35000000,7000000,5,5,Mid,12/01/2026,09/02/2026,2026-01,Lagos
Spacious 3 Bedroom Terrace Duplex,abraham adesanya estate ajah lagos,Terraced,105000000,35000000,3,3,High,20/01/2026,18/02/2026,2026-01,Lagos
Distress 10 Bedroom Mansion With Bq+1500sqm,zarthet wuye abuja,land,950000000,95000000,10,10,High,10/08/2025,18/02/2026,2025-08,Abuja
5 Bedroom Detached Duplex,chevron lekki lagos,Detached,1500000000,300000000,5,5,High,23/09/2025,18/02/2026,2025-09,Lagos
2965sqm Office Building On 7 Floors,victoria island lagos,office/ office space,22500000000,0,0,0,High,12/11/2025,18/02/2026,2025-11,Lagos
