title,location,area_bucket,property_type,price,bedrooms,bathrooms,added_date,updated_date,month_posted,state,price_category
5 bedroom detached duplex for sale,"Gaduwa Axis, Gaduwa, Abuja",Gaduwa Axis,Detached Duplex,370000000,5,5,29/08/2025,21/02/2026,2025-08,Abuja,High
5 bedroom detached duplex for sale,"Wuse 2, Abuja",Wuse,Detached Duplex,1500000000,5,5,18/08/2025,21/02/2026,2025-08,Abuja,High
Residential land for sale,"After Paradise Estate, Life Camp, Abuja",Life Camp,Land,95000000,,,30/05/2025,21/02/2026,2025-05,Abuja,Low
Residential land for sale,"Apo Hilltop, Apo, Abuja",Apo,Land,45000000,,,30/04/2025,21/02/2026,2025-04,Abuja,Low
5 bedroom detached duplex for sale,"Kaura, Kaura, Abuja",Kaura,Detached Duplex,450000000,5,5,30/04/2025,21/02/2026,2025-04,Abuja,High
4 bedroom detached duplex for sale,"Lokogoma District, Abuja",Lokogoma,Detached Duplex,220000000,4,4,11/03/2025,21/02/2026,2025-03,Abuja,Low
5 bedroom detached duplex for sale,"After Brains And Hammer Estate, Galadimawa, Abuja",Galadimawa,Detached Duplex,350000000,5,5,19/02/2026,21/02/2026,2026-02,Abuja,High
3 bedroom semi-detached bungalow for sale,"Close To Sunnyvale Junction., Galadimawa, Abuja",Galadimawa,Bungalow,100000000,3,3,19/02/2026,21/02/2026,2026-02,Abuja,Low
4 bedroom terraced duplex for sale,"Games Village, Kaura, Abuja",Kaura,Terraced Duplex,230000000,4,,09/08/2025,02/02/2026,2025-08,Abuja,Low
Residential land for sale,"Paradise Estate Phase 1, Life Camp, Abuja",Life Camp,Land,80000000,,,19/02/2026,21/02/2026,2026-02,Abuja,Low
4 bedroom semi-detached duplex for sale,"Galadimawa, Abuja",Galadimawa,Semi-Detached Duplex,240000000,4,,19/02/2026,23/02/2026,2026-02,Abuja,Low
4 bedroom semi-detached bungalow for sale,"Life Camp, Abuja",Life Camp,Bungalow,130000000,4,5,19/02/2026,21/02/2026,2026-02,Abuja,Low
Mixed-use land for sale,"By Goza, Guzape District, Abuja",Guzape,Land,3500000000,,,19/02/2026,21/02/2026,2026-02,Abuja,High
Land for sale,"Airport Road, Lugbe District, Abuja",Lugbe,Land,8000000,,,19/02/2026,19/02/2026,2026-02,Abuja,Low
2 bedroom flat / apartment for sale,"Area 1, Garki, Abuja",Garki,Flat,75000000,2,3,19/02/2026,21/02/2026,2026-02,Abuja,Low
8 bedroom detached duplex for sale,"Maitama District, Abuja",Maitama,Detached Duplex,6000000000,8,8,12/02/2026,22/02/2026,2026-02,Abuja,High
Plaza / complex / mall for sale,"Utako, Abuja",Utako,Commercial Property,5500000000,,10,12/02/2026,22/02/2026,2026-02,Abuja,High
Residential land for sale,"Kaura, Abuja",Kaura,Land,250000000,,,06/02/2026,21/02/2026,2026-02,Abuja,Low
Residential land for sale,"Asokoro District, Abuja",Asokoro,Land,350000000,,,07/02/2026,21/02/2026,2026-02,Abuja,High
4 bedroom terraced duplex for sale,"Asokoro District, Abuja",Asokoro,Terraced Duplex,600000000,4,5,12/02/2026,22/02/2026,2026-02,Abuja,High
Residential land for sale,"Kaura, Abuja",Kaura,Land,300000000,,,19/02/2026,21/02/2026,2026-02,Abuja,High
2 bedroom house for sale,"Opposite Gaat International School, Gaduwa, Abuja",Gaduwa Axis,House,120000000,2,3,01/02/2026,06/02/2026,2026-02,Abuja,Low
5 bedroom terraced duplex for sale,"By Gishiri, Katampe, Abuja",Katampe,Terraced Duplex,150000000,5,5,05/01/2026,09/02/2026,2026-01,Abuja,Low
4 bedroom terraced duplex for sale,"Utako, Abuja",Utako,Terraced Duplex,950000000,4,7,19/02/2026,19/02/2026,2026-02,Abuja,High
3 bedroom terraced duplex for sale,"Renewed Hope Estate Karsana, Gwarinpa, Abuja",Gwarinpa,Terraced Duplex,80000000,3,4,19/02/2026,21/02/2026,2026-02,Abuja,Low
3 bedroom flat / apartment for sale,"Jahi, Abuja",Jahi,Flat,95000000,3,3,19/02/2026,19/02/2026,2026-02,Abuja,Low
4 bedroom terraced duplex for sale,"Fcda Quarters, Wuse 2, Abuja",Wuse,Terraced Duplex,400000000,4,4,19/02/2026,19/02/2026,2026-02,Abuja,High
3 bedroom block of flats for sale,"Behind Paradise Valley Estate, Katampe Extension, Katampe, Abuja",Katampe,Block Of Flats,70300000,3,,04/11/2025,19/02/2026,2025-11,Abuja,Low
3 bedroom block of flats for sale,"Dawaki, Gwarinpa, Abuja",Gwarinpa,Block Of Flats,35000000,3,3,15/02/2026,19/02/2026,2026-02,Abuja,Low
3 bedroom house for sale,"Katampe, Abuja",Katampe,House,120000000,3,,19/02/2026,19/02/2026,2026-02,Abuja,Low
4 bedroom terraced duplex for sale,"Wuye, Abuja",Wuye,Terraced Duplex,390000000,4,,19/02/2026,23/02/2026,2026-02,Abuja,High
5 bedroom terraced duplex for sale,"Before Stella Maris College, Life Camp, Abuja",Life Camp,Terraced Duplex,250000000,5,5,16/01/2025,22/02/2026,2025-01,Abuja,Low
4 bedroom terraced duplex for sale,"After Aym Shafa Close To Bus Terminal, Mabushi, Abuja",Mabushi,Terraced Duplex,250000000,4,5,13/01/2026,17/02/2026,2026-01,Abuja,Low
3 bedroom flat / apartment for sale,"Katampe (Main), Katampe, Abuja",Katampe,Flat,120000000,3,3,19/02/2026,19/02/2026,2026-02,Abuja,Low
4 bedroom detached duplex for sale,"Monarch Estate, Life Camp, Abuja",Life Camp,Detached Duplex,450000000,4,4,19/02/2026,19/02/2026,2026-02,Abuja,High
3 bedroom flat / apartment for sale,"Wuye, Abuja",Wuye,Flat,185000000,3,,19/02/2026,22/02/2026,2026-02,Abuja,Low
5 bedroom detached duplex for sale,"Katampe Extension, Katampe, Abuja",Katampe,Detached Duplex,1200000000,5,,18/02/2026,20/02/2026,2026-02,Abuja,High
4 bedroom semi-detached duplex for sale,"By 69, Gwarinpa, Abuja",Gwarinpa,Semi-Detached Duplex,285000000,4,4,17/06/2025,18/02/2026,2025-06,Abuja,High
5 bedroom detached duplex for sale,"Lokogoma District, Abuja",Lokogoma,Detached Duplex,470000000,5,5,18/02/2026,19/02/2026,2026-02,Abuja,High
5 bedroom detached duplex for sale,"Lokogoma District, Abuja",Lokogoma,Detached Duplex,285000000,5,5,22/10/2025,18/02/2026,2025-10,Abuja,High
4 bedroom terraced duplex for sale,"3rd Avenue, Gwarinpa, Abuja",Gwarinpa,Terraced Duplex,185000000,4,4,30/10/2025,16/02/2026,2025-10,Abuja,Low
4 bedroom terraced duplex for sale,"Jahi, Abuja",Jahi,Terraced Duplex,450000000,4,4,16/02/2026,16/02/2026,2026-02,Abuja,High
3 bedroom flat / apartment for sale,"Wuye, Abuja",Wuye,Flat,160000000,3,,18/02/2026,20/02/2026,2026-02,Abuja,Low
4 bedroom terraced duplex for sale,"Kaura By Sun City Traffic Light, Kaura, Abuja",Kaura,Terraced Duplex,175000000,4,4,16/02/2026,16/02/2026,2026-02,Abuja,Low
6 bedroom detached duplex for sale,"Asokoro District, Abuja",Asokoro,Detached Duplex,1700000000,6,6,18/02/2026,19/02/2026,2026-02,Abuja,High
5 bedroom detached duplex for sale,"Apo, Abuja",Apo,Detached Duplex,600000000,5,,18/02/2026,21/02/2026,2026-02,Abuja,High
Land for sale,"Katampe, Abuja",Katampe,Land,240000000,,,18/02/2026,18/02/2026,2026-02,Abuja,Low
4 bedroom detached duplex for sale,"Asokoro District, Abuja",Asokoro,Detached Duplex,1700000000,4,5,18/02/2026,18/02/2026,2026-02,Abuja,High
4 bedroom detached duplex for sale,"Trumpy Estates, Lugbe District, Abuja",Lugbe,Detached Duplex,130000000,4,4,18/02/2026,19/02/2026,2026-02,Abuja,Low
4 bedroom detached duplex for sale,"Gwarinpa, Karsana, Abuja",Gwarinpa,Detached Duplex,550000000,4,5,18/02/2026,18/02/2026,2026-02,Abuja,High
3 bedroom flat / apartment for sale,"Mabushi, Abuja",Mabushi,Flat,170000000,3,3,18/02/2026,19/02/2026,2026-02,Abuja,Low
Residential land for sale,"Maitama 2, Maitama District, Abuja",Maitama,Land,8000000,,,18/02/2026,18/02/2026,2026-02,Abuja,Low
7 bedroom detached duplex for sale,"Garki, Abuja",Garki,Detached Duplex,600000000,7,8,21/09/2025,15/02/2026,2025-09,Abuja,High
4 bedroom terraced duplex for sale,"Life Camp, Abuja",Life Camp,Terraced Duplex,250000000,4,6,02/10/2025,15/02/2026,2025-10,Abuja,Low
4 bedroom detached duplex for sale,"Apo, Abuja",Apo,Detached Duplex,250000000,4,5,16/10/2025,15/02/2026,2025-10,Abuja,Low
4 bedroom house for sale,"Jabi, Abuja",Jabi,House,350000000,4,5,25/10/2025,15/02/2026,2025-10,Abuja,High
4 bedroom semi-detached duplex for sale,"Wuye, Abuja",Wuye,Semi-Detached Duplex,400000000,4,5,27/10/2025,15/02/2026,2025-10,Abuja,High
4 bedroom terraced duplex for sale,"Jabi, Abuja",Jabi,Terraced Duplex,250000000,4,5,27/10/2025,15/02/2026,2025-10,Abuja,Low
6 bedroom detached duplex for sale,"Utako, Abuja",Utako,Detached Duplex,650000000,6,8,03/11/2025,15/02/2026,2025-11,Abuja,High
2 bedroom flat / apartment for sale,"Wuse, Abuja",Wuse,Flat,750000000,2,,28/11/2025,15/02/2026,2025-11,Abuja,High
3 bedroom flat / apartment for sale,"Blossom Estate, Dawaki, Gwarinpa, Abuja",Gwarinpa,Flat,35000000,3,4,17/02/2026,23/02/2026,2026-02,Abuja,Low
Residential land for sale,"Gwarinpa, Abuja",Gwarinpa,Land,600000000,,,18/02/2026,19/02/2026,2026-02,Abuja,High
5 bedroom detached duplex for sale,"Jabi, Abuja",Jabi,Detached Duplex,700000000,5,5,18/02/2026,18/02/2026,2026-02,Abuja,High
Residential land for sale,"Guzape 2, Guzape District, Abuja",Guzape,Land,2500000000,,,26/10/2025,18/02/2026,2025-10,Abuja,High
5 bedroom semi-detached duplex for sale,"Asokoro Heights, Guzape District, Abuja",Guzape,Semi-Detached Duplex,350000000,5,5,25/10/2025,18/02/2026,2025-10,Abuja,High
4 bedroom terraced duplex for sale,"Eagle View Estate, Behind Centenary City, Kuje, Abuja",Kuje,Terraced Duplex,9000000,4,5,17/10/2025,18/01/2026,2025-10,Abuja,Low
4 bedroom detached duplex for sale,"Life Camp, Abuja",Life Camp,Detached Duplex,300000000,4,4,21/08/2025,18/02/2026,2025-08,Abuja,High
Residential land for sale,"Broadview Estate, Idu Industrial, Abuja",Idu,Land,25000000,,,11/07/2025,18/02/2026,2025-07,Abuja,Low
2 bedroom flat / apartment for sale,"Arab Road, Kubwa, Abuja",Kubwa,Flat,1500000000,2,2,23/11/2025,18/02/2026,2025-11,Abuja,High
Filling station for sale,"Bwari, Abuja",Bwari Axis,Commercial Property,500000000,,3,02/01/2026,18/02/2026,2026-01,Abuja,High
4 bedroom detached duplex for sale,"Gwarinpa, Abuja",Gwarinpa,Detached Duplex,250000000,4,4,05/01/2026,18/02/2026,2026-01,Abuja,Low
Land for sale,"M & B Villa Estate, Sabon Lugbe, Lugbe District, Abuja",Lugbe,Land,25000000,,,09/02/2025,03/02/2026,2025-02,Abuja,Low
3 bedroom terraced duplex for sale,"Dape, Abuja",Dape,Terraced Duplex,200000000,3,4,10/02/2026,17/02/2026,2026-02,Abuja,Low
5 bedroom detached duplex for sale,"Guzape Main, Guzape District, Abuja",Guzape,Detached Duplex,545000000,5,5,18/02/2026,18/02/2026,2026-02,Abuja,High
5 bedroom detached duplex for sale,"Katampe Extension, Katampe, Abuja",Katampe,Detached Duplex,600000000,5,5,18/02/2026,18/02/2026,2026-02,Abuja,High
3 bedroom flat / apartment for sale,"By Wuye, Dakibiyu, Abuja",Gaduwa Axis,Flat,125000000,3,3,18/02/2026,18/02/2026,2026-02,Abuja,Low
6 bedroom detached duplex for sale,"Gwarimpa Extension, Gwarinpa, Abuja",Gwarinpa,Detached Duplex,450000000,6,6,16/08/2025,18/02/2026,2025-08,Abuja,High
4 bedroom semi-detached duplex for sale,"Katampe (Main), Katampe, Abuja",Katampe,Semi-Detached Duplex,200000000,4,4,24/09/2025,18/02/2026,2025-09,Abuja,Low
4 bedroom terraced duplex for sale,"Jahi, Abuja",Jahi,Terraced Duplex,255000000,4,4,02/10/2025,18/02/2026,2025-10,Abuja,Low
3 bedroom terraced duplex for sale,"Main, Katampe Extension, Katampe, Abuja",Katampe,Terraced Duplex,2000000000,3,3,23/02/2026,23/02/2026,2026-02,Abuja,High
Residential land for sale,"Diplomatic Zone, Katampe Extension, Katampe, Abuja",Katampe,Land,3500000000,,,15/11/2025,02/02/2026,2025-11,Abuja,High
Residential land for sale,"Estate Plot, Galadimawa, Abuja",Galadimawa,Land,85000000,,,23/02/2026,23/02/2026,2026-02,Abuja,Low
30 bedroom house for sale,"Life Camp, Abuja",Life Camp,House,11500000000,30,31,15/02/2025,02/02/2026,2025-02,Abuja,High
Mixed-use land for sale,"Scc, Jabi, Abuja",Jabi,Land,3200000000,,,01/01/2026,02/02/2026,2026-01,Abuja,High
5 bedroom detached duplex for sale,"Maitama Main, Maitama District, Abuja",Maitama,Detached Duplex,3500000000,5,6,08/02/2026,08/02/2026,2026-02,Abuja,High
3 bedroom block of flats for sale,"After Kado Fish Market, Life Camp, Abuja",Life Camp,Block Of Flats,1500000000,3,4,17/02/2026,17/02/2026,2026-02,Abuja,High
2 bedroom block of flats for sale,"Extension 3 By Living Faith Church, FO1 Layout, Kubwa, Abuja",Kubwa,Block Of Flats,600000000,2,3,17/02/2026,17/02/2026,2026-02,Abuja,High
3 bedroom block of flats for sale,"Gilmor, Jahi, Abuja",Jahi,Block Of Flats,115000000,3,4,06/02/2026,23/02/2026,2026-02,Abuja,Low
2 bedroom block of flats for sale,"Durumi, Abuja",Durumi,Block Of Flats,77000000,2,3,06/02/2026,23/02/2026,2026-02,Abuja,Low
2 bedroom flat / apartment for sale,"Life Camp, Abuja",Life Camp,Flat,90000000,2,3,10/02/2026,23/02/2026,2026-02,Abuja,Low
3 bedroom semi-detached duplex for sale,"Life Camp, Abuja",Life Camp,Semi-Detached Duplex,200000000,3,4,06/02/2026,23/02/2026,2026-02,Abuja,Low
12 bedroom flat / apartment for sale,"Arab Road, Kubwa, Abuja",Kubwa,Flat,410000000,12,12,23/02/2026,23/02/2026,2026-02,Abuja,High
6 bedroom detached duplex for sale,"Asokoro District, Abuja",Asokoro,Detached Duplex,1000000000,6,7,14/02/2026,14/02/2026,2026-02,Abuja,High
Shop for sale,"Kubwa, Abuja",Kubwa,Commercial Property,8000000,,,27/10/2025,21/02/2026,2025-10,Abuja,Low
5 bedroom semi-detached duplex for sale,"Imperial Vista, Life Camp, Abuja",Life Camp,Semi-Detached Duplex,190000000,5,6,18/02/2026,23/02/2026,2026-02,Abuja,Low
Commercial land for sale,"Garki, Abuja",Garki,Land,3500000000,,,23/02/2026,23/02/2026,2026-02,Abuja,High
Residential land for sale,"Gaduwa, Abuja",Gaduwa Axis,Land,200000000,,,23/02/2026,23/02/2026,2026-02,Abuja,Low
5 bedroom detached duplex for sale,"Serene Neighborhood. Good Access Road, Wuye, Abuja",Wuye,Detached Duplex,580000000,5,5,23/02/2026,23/02/2026,2026-02,Abuja,High
18 bedroom block of flats for sale,"Wuse, Abuja",Wuse,Block Of Flats,1500000000,18,18,23/02/2026,23/02/2026,2026-02,Abuja,High
5 bedroom terraced duplex for sale,"Serene Neighborhood, Katampe Extension, Katampe, Abuja",Katampe,Terraced Duplex,750000000,5,5,23/02/2026,23/02/2026,2026-02,Abuja,High
4 bedroom house for sale,"Vegas Court Estate,lugbe Airport Road, Abuja, Lugbe District, Abuja",Lugbe,House,120000000,4,4,23/02/2026,23/02/2026,2026-02,Abuja,Low
3 bedroom flat / apartment for sale,"Life Camp, Abuja",Life Camp,Flat,65000000,3,3,16/02/2026,17/02/2026,2026-02,Abuja,Low
4 bedroom house for sale,"Kyc City Estate, Airport Road, Lugbe, Abuja, Lugbe District, Abuja",Lugbe,House,90000000,4,4,23/02/2026,23/02/2026,2026-02,Abuja,Low
3 bedroom semi-detached bungalow for sale,"Off Emmanuel Mbaka Bolivia Road,lugbe Airport, Abuja, Lugbe District, Abuja",Lugbe,Bungalow,90000000,3,3,23/02/2026,23/02/2026,2026-02,Abuja,Low
Residential land for sale,"Guzape District, Abuja",Guzape,Land,2200000000,,,23/02/2026,23/02/2026,2026-02,Abuja,High
Residential land for sale,"By Prestigious Washington Luxury Apartments, Dakibiyu, Abuja",Gaduwa Axis,Land,300000000,,,20/11/2025,23/02/2026,2025-11,Abuja,High
20 bedroom hotel / guest house for sale,"Mabushi, Abuja",Mabushi,Commercial Property,2000000000,20,21,23/02/2026,23/02/2026,2026-02,Abuja,High
6 Bedroom Fully Detached Duplex With Bq,"Dantata District Estate, Ahmadu Bello Way Gwarinpa Abuja",Gwarinpa,Detached Duplex,650000000,6,6,23/01/2026,18/02/2026,2026-01,Abuja,High
Semi Finished Premium 6 Bedroom Detached Duplex,Before H Medix Life Camp Abuja,Life Camp,Detached Duplex,700000009,6,6,26/01/2026,18/02/2026,2026-01,Abuja,High
Luxurious Spacious 3 Bedroom Apartment,Rock Hampton Katampe Abuja,Katampe,Flat,375000000,3,3,07/10/2025,18/02/2026,2025-10,Abuja,High
Luxury 4 Bedroom Terrace Duplex With Bq,By Coza Church Guzape Abuja,Guzape,Terraced Duplex,400000000,4,4,29/01/2026,18/02/2026,2026-01,Abuja,High
4 Bedroom Terraced Duplex With Bq,"Rock Hampton, Katampe Abuja",Katampe,Terraced Duplex,216000000,4,4,13/10/2025,18/02/2026,2025-10,Abuja,Low
Brand New 2 Bedroom Apartment,Capital Hub Mabushi Abuja,Mabushi,Flat,120000000,2,2,23/01/2026,18/02/2026,2026-01,Abuja,Low
Newly Built 5 Bedroom Detached Duplex,Aso Villa Asokoro Abuja,Asokoro,Detached Duplex,3500000000,5,5,21/01/2026,18/02/2026,2026-01,Abuja,High
Distress 10 Bedroom Mansion With Bq+1500sqm,Zarthet Wuye Abuja,Wuye,Land,950000000,,,10/08/2025,18/02/2026,2025-08,Abuja,High
Furnished 4 Bedroom Terrace Duplex With Bq,Guzape Abuja,Guzape,Terraced Duplex,450000000,4,4,28/01/2026,18/02/2026,2026-01,Abuja,High
Fully Operational Rice Milling Facility,Idu Industrial (institution And Research) Abuja,Idu,Commercial Property,10000000000,,,01/02/2026,18/02/2026,2026-02,Abuja,High
2 Bedroom Flat,Off Maitama Kubwa Express Katampe Main Abuja,Maitama,Flat,165000000,2,2,13/01/2026,18/02/2026,2026-01,Abuja,Low
Newly Built 3 Bedroom Flat,"By Turkish Hospital, Idu Abuja",Idu,Flat,145000000,3,3,19/01/2026,18/02/2026,2026-01,Abuja,Low
Newly Built 1 Bedroom Flat,By Ceder Crest Hospital Apo Abuja,Apo,Flat,65000000,1,1,21/01/2026,18/02/2026,2026-01,Abuja,Low
Newly Built 3 Bedroom With A Bq,By American International School Durumi Abuja,Durumi,Flat,120000000,3,3,10/02/2026,18/02/2026,2026-02,Abuja,Low
Newly Built 5 Bedroom Detached Duplex With Bq,Wuye Abuja,Wuye,Detached Duplex,700000000,5,5,23/01/2026,18/02/2026,2026-01,Abuja,High
3 Bedroom Flat,Off Maitama Kubwa Express Way Katampe Main Abuja,Maitama,Flat,195000000,3,3,13/01/2026,18/02/2026,2026-01,Abuja,Low
A Fully Furnished 3 Bedroom Flat,By Stella Marris School Life Camp Abuja,Life Camp,Flat,135000000,3,3,16/01/2026,18/02/2026,2026-01,Abuja,Low
Newly Built 3 Bedroom Flat With A Bq,Life Camp Abuja,Life Camp,Flat,130000000,3,3,06/02/2026,18/02/2026,2026-02,Abuja,Low
Fully Furnished 3 Bedroom Flat,Mabushi Abuja,Mabushi,Flat,155000000,3,3,04/02/2026,18/02/2026,2026-02,Abuja,Low
Standard 3 Bedroom With A Bq,Brains And Hammers Estate Galadimawa Abuja,Galadimawa,Flat,120000000,3,3,05/02/2026,18/02/2026,2026-02,Abuja,Low
Newly Built 4 Bedroom Detached Duplex With A Bq,"Apo Resettlement By The New Express, Apo Abuja",Apo,Detached Duplex,300000000,4,4,16/01/2026,18/02/2026,2026-01,Abuja,High
Newly Built 2 Bedroom Flat,By Turkish Hospital Idu Abuja,Idu,Flat,58000000,2,2,20/01/2026,18/02/2026,2026-01,Abuja,Low
Newly Built 2 Bedroom Duplex,By Urban Shelter Lokogoma Abuja,Lokogoma,Duplex,95000000,2,2,14/01/2026,18/02/2026,2026-01,Abuja,Low
Newly Built 2 Bedroom Flat,Close To Turkish Hospital Idu Abuja,Idu,Flat,70000000,2,2,02/01/2026,18/02/2026,2026-01,Abuja,Low
Newly Built 2 Bedroom Flat,Behind Capital Hub Mabushi Abuja,Mabushi,Flat,120000000,3,3,04/02/2026,18/02/2026,2026-02,Abuja,Low
Newly Built 3 Bedroom Flat With Bq,"Soe Estate, Life Camp Abuja",Life Camp,Flat,95000000,3,3,02/01/2026,18/02/2026,2026-01,Abuja,Low
Standard 3 Bedroom Flat With A Bq,"Efab Global Estate, Idu Abuja",Idu,Flat,150000000,3,3,16/01/2026,18/02/2026,2026-01,Abuja,Low
Fully Furnished 3 Bedroom With Swimming Pool,Tarred Road Life Camp Abuja,Life Camp,Flat,120000000,3,3,04/02/2026,18/02/2026,2026-02,Abuja,Low
Distress 7units Of 5bedroom Terraces Duplexes +bq,Close To Nnpc Guzape Abuja,Guzape,Duplex,2500000000,5,,15/07/2025,18/02/2026,2025-07,Abuja,High
Luxurious 4 Bedroom Terraced Duplex With Bq,"American International School, Durumi Abuja",Durumi,Terraced Duplex,240000000,4,4,15/12/2025,18/02/2026,2025-12,Abuja,Low
Distress 6units Of 4 Bedroom Terrace Duplex With Bq,Linder Chucker Crescent Close To Minister's House Asokoro Abuja,Asokoro,Terraced Duplex,2500000000,4,,03/10/2025,18/02/2026,2025-10,Abuja,High
Luxury 5 Bedroom Fully Detached Duplex,Apo Resettlement Apo Abuja,Apo,Detached Duplex,480000000,5,5,12/01/2026,18/02/2026,2026-01,Abuja,High
Orange Mall,Katampe Main Abuja,Katampe,Commercial Property,73000000,,,16/09/2025,18/02/2026,2025-09,Abuja,Low
160 Rooms,Airport By Presidential Wing Lugbe Abuja,Lugbe,Commercial Property,15000000000,,,22/09/2025,18/02/2026,2025-09,Abuja,High
3 Bedroom Apartment,Wuye Dakibiyu After Ivy Aparyms Wuye Abuja,Gaduwa Axis,Flat,120000000,3,3,25/01/2026,18/02/2026,2026-01,Abuja,Low
Furnished 7 Bedroom Detached Duplex With Elevator,By Market Square Kado Abuja,Kado,Detached Duplex,1500000000,7,7,19/12/2025,18/02/2026,2025-12,Abuja,High
Newly Built 4 Bedroom Terrace Duplex,Guzape Abuja,Guzape,Terraced Duplex,455000000,4,4,23/01/2026,18/02/2026,2026-01,Abuja,High
Newly Built 4 Bedroom Terrace Duplex With Bq,Katampe Extension Katampe Abuja,Katampe,Terraced Duplex,370000000,4,4,31/01/2026,18/02/2026,2026-01,Abuja,High
Massive 4 Bedroom Terraced Duplex With Bq,Main Maitama Abuja,Maitama,Terraced Duplex,1500000000,4,4,06/10/2025,18/02/2026,2025-10,Abuja,High
Newly Built 3 Bedroom Apartment,Dantata District Estate Off 3rd Avenue Gwarinpa Abuja,Gwarinpa,Flat,160000000,3,3,25/01/2026,18/02/2026,2026-01,Abuja,Low
4 Bedroom Terraced Duplex With Bq,Spar Market Life Camp Abuja,Life Camp,Terraced Duplex,150000000,5,5,14/10/2025,18/02/2026,2025-10,Abuja,Low
2 Bedroom Semi Detached Bungalow,Lugbe Abuja,Lugbe,Bungalow,45000000,2,,21/02/2025,18/02/2026,2025-02,Abuja,Low
4 Bedroom Detached Duplex With Bq,Lokogoma Abuja,Lokogoma,Detached Duplex,120000000,4,,18/02/2025,18/02/2026,2025-02,Abuja,Low
9 Units Of 2 Bedroom Flat,6th Avenue Gwarinpa Abuja,Gwarinpa,Flat,120000000,2,,21/01/2026,18/02/2026,2026-01,Abuja,Low
5 Bedroom Fully Detached Duplex With Bq,Y Nipco Filling Station Along Von/trademore Road Lugbe Airport Road Lugbe Abuja,Lugbe,Detached Duplex,205000000,5,,21/02/2025,18/02/2026,2025-02,Abuja,Low
2/3 Bedroom Apartment,Lugbe Abuja,Lugbe,Flat,30000000,3,,18/02/2025,18/02/2026,2025-02,Abuja,Low
4 Bedroom Duplex With Bq,Close To Sunnyvall Lokogoma Abuja,Lokogoma,Duplex,230000000,4,4,15/08/2025,18/02/2026,2025-08,Abuja,Low
4 Bedroom Semi Detached Duplex,River Packs Lugbe Abuja,Lugbe,Semi-Detached Duplex,320000000,4,4,30/08/2025,18/02/2026,2025-08,Abuja,High
6 Unit Of 6 Bedroom Semi Detached Duplex With Bq,Close To Ecobank Jabi Abuja,Jabi,Semi-Detached Duplex,3500000000,6,,29/08/2025,18/02/2026,2025-08,Abuja,High
10units Of 4bedroom Uncompleted Terrace Duplex,Diplomatic Zone Katampe Abuja,Katampe,Terraced Duplex,3000000000,4,,08/09/2025,18/02/2026,2025-09,Abuja,High
Newly Built 4 Bedroom Terraced Duplex With Bq,"Gilmore Junction, Jahi Abuja",Jahi,Terraced Duplex,260000000,4,4,28/09/2025,18/02/2026,2025-09,Abuja,High
12 Units 6 Units Of 3 Bedrooms+6 Units Of 1 Bedroom,Close To Ndcc Gaduwa Abuja,Gaduwa Axis,House,700000000,3,,18/11/2025,18/02/2026,2025-11,Abuja,High
4 Bedroom Duplex With 2 Bq,"Close To Nnpc, Guzape Abuja",Guzape,Duplex,800000000,4,4,27/01/2026,18/02/2026,2026-01,Abuja,High
4 Bedroom Terraced Duplex With Bq,Close To Nnpc Guzape Abuja,Guzape,Terraced Duplex,350000000,4,4,09/09/2025,18/02/2026,2025-09,Abuja,High
Luxurious 4bedroom Terraces With Bq En Suite,Close To Nnpc Guzape Abuja,Guzape,House,350000000,4,4,22/08/2025,18/02/2026,2025-08,Abuja,High
Luxurious 4 Bedroom Terraced Duplex With Bq,Main Katampe Main Abuja,Katampe,Terraced Duplex,285000000,4,4,15/10/2025,18/02/2026,2025-10,Abuja,High
Newly Built 5 Bedroom Detached Duplex With Bq,Mai Mabushi Abuja,Mabushi,Detached Duplex,500000000,5,5,15/10/2025,18/02/2026,2025-10,Abuja,High
Newly Built 6 Bedroom Detached Duplex With Bq,"Close To Vio, Mabushi Abuja",Mabushi,Detached Duplex,655000000,5,5,15/10/2025,18/02/2026,2025-10,Abuja,High
Distress Sale 7400sqm Commercial Unspecified Fcda Cofo,On The Major Road Beside Lifemade Furnitures Garki 2 Abuja,Garki,Land,3500000000,,,06/02/2026,18/02/2026,2026-02,Abuja,High
37 Shops,Zone 1 Wuse 1 Abuja,Wuse,Commercial Property,3500000000,,,19/09/2025,18/02/2026,2025-09,Abuja,High
5 Bedroom Detached Duplex,Close To H Medix Guzape Abuja,Guzape,Detached Duplex,580000000,5,5,08/09/2025,18/02/2026,2025-09,Abuja,High
Distress 9 Units Of 3 Bedroom Flat,"Close To Pacesetters School, Guzape Abuja",Guzape,Flat,1500000000,3,,09/01/2026,18/02/2026,2026-01,Abuja,High
Luxurious 4 Bedroom Detached Duplex With Bq/pool,"Close To Sunnyvale Estate, Galadimawa Abuja",Galadimawa,Detached Duplex,480000000,5,5,15/10/2025,18/02/2026,2025-10,Abuja,High
Luxurious 5 Bedroom Detached Duplex With Bq,"Close To Fairview School, Guzape Abuja",Guzape,Detached Duplex,2500000000,5,5,05/10/2025,18/02/2026,2025-10,Abuja,High
5 Bedroom Detached Duplex With Bq,Kado Abuja,Kado,Detached Duplex,750000000,5,5,05/11/2025,18/02/2026,2025-11,Abuja,High
