title,location,area_bucket,property_type,price,bedrooms,bathrooms,added_date,updated_date,month_posted,state,price_category
Plaza / complex / mall for sale,"Zone 1, Wuse, Abuja",Wuse,Commercial Property,2000000000,,38,25/01/2026,23/02/2026,2026-01,Abuja,High
5 bedroom detached duplex for sale,"Karsana, Abuja",Karsana,Detached Duplex,200000000,5,6,25/01/2026,23/02/2026,2026-01,Abuja,Low
5 bedroom terraced duplex for sale,"Maitama District, Abuja",Maitama,Terraced Duplex,1200000000,5,,23/02/2026,23/02/2026,2026-02,Abuja,High
Commercial land for sale,"Area 11, Garki, Abuja",Garki,Land,3500000000,,,06/02/2026,23/02/2026,2026-02,Abuja,High
4 bedroom terraced duplex for sale,"Dakibiyu, Jabi, Abuja",Gaduwa Axis,Terraced Duplex,180000000,4,5,08/02/2026,23/02/2026,2026-02,Abuja,Low
4 bedroom detached duplex for sale,"Urban Shelter, Katampe, Abuja",Katampe,Detached Duplex,330000000,4,5,12/02/2026,23/02/2026,2026-02,Abuja,High
4 bedroom detached duplex for sale,"Maitama District, Abuja",Maitama,Detached Duplex,1500000000,4,,23/02/2026,23/02/2026,2026-02,Abuja,High
4 bedroom house for sale,"Maitama District, Abuja",Maitama,House,1500000000,4,,15/02/2026,22/02/2026,2026-02,Abuja,High
4 bedroom terraced duplex for sale,"Mechanic Phase 3, Apo Resettlement, Apo, Abuja",Apo,Terraced Duplex,35000000,4,4,17/02/2026,17/02/2026,2026-02,Abuja,Low
3 bedroom flat / apartment for sale,"River Park, Lugbe District, Abuja",Lugbe,Flat,100000000,3,3,23/02/2026,23/02/2026,2026-02,Abuja,Low
2 bedroom flat / apartment for sale,"River Park, Lugbe District, Abuja",Lugbe,Flat,90000000,2,2,23/02/2026,23/02/2026,2026-02,Abuja,Low
3 bedroom terraced duplex for sale,"Von Axis, Lugbe District, Abuja",Lugbe,Terraced Duplex,80000000,3,3,22/02/2026,22/02/2026,2026-02,Abuja,Low
5 bedroom house for sale,"Mbora (Nbora), Abuja",Mbora,House,230000000,5,5,22/02/2026,22/02/2026,2026-02,Abuja,Low
5 bedroom detached duplex for sale,"Asokoro District, Abuja",Asokoro,Detached Duplex,650000000,5,,18/02/2026,18/02/2026,2026-02,Abuja,High
5 bedroom detached duplex for sale,"Asokoro District, Abuja",Asokoro,Detached Duplex,850000000,5,6,18/02/2026,19/02/2026,2026-02,Abuja,High
5 bedroom detached duplex for sale,"Asokoro Hills, Asokoro District, Abuja",Asokoro,Detached Duplex,1500000000,5,6,04/09/2024,22/02/2026,2024-09,Abuja,High
